id,class,UsingIPAddress1,URLlengthRule1,TinyService,checkArrobaURL,checkRedirectURL,checkDashDomain,checkSubDomainMulSubDomain,checkHTTPSDomainURL,GoogleIndex,StatisticalReports,SSLFinal_state2,AgeSSL2,numDotsURL,NumDotSubDomain,pathLevelURL,URLlength,NumDashURL,NumDashDomain,checkTildeSymbolURL,NumUnderscoreURL,NumPercentURL,NumAmpersandURL,QueryComponents,NumHashURL,NumNumericCharsURL,NoHTTPS,DomainInSubdomains,DomainInPaths,HostnameLenth,PathLength,QueryLength,NumSensitiveWords,NumArrobaURL,KnowLTD,get_PositionTLD,BrandNameURL,numDots_URLRule4,SpecialSymbol4,URLlengthRule4,SuspiciousInURL,httpCountInURL,BrandNameDomain,NumNumericChars_Path,NumNumericChars_Domain,NumNumericChars_Subdomain,RandomDomain,RandomString,DomainLength,SubdomainLength,checkWWW,checkCOM,numInterrogation,numBar,numEqual,numArroba,checkAlexa,RawWordCount,AvaregeWordLength,LongestWordLength,ShortestWordLength,StandardDerivation,AdjacentWordCount,AverageAdjacentWordLength,SeparatedWordCount,OtherWordsCount,RandomWordCount,KeywordCount,BrandNameCount,TargetBrandNameCount,TargetKeywordCount,SimilarBrandNameCount,SimilarKeywordCount,ConsecutiveCharacterRepeat,URLofAnchorRule1,statusBarCost,SubmittingEmailTo,DisablingRightClick,ServerFormHandler,EmbeddedBrandName,URLofAnchorCat,InsecureForm,RelativeFormAction,ExtFormAction,AbnormalFormAction,FrequentDomainNameMismatch,PopUpWindow,ImagesOnlyInForm,PctExtResourceUrls,IframeOrFrame,LinksMetaScript,checkTitle,FakeLoginForm,Copied_CSS,IdentityKeywords,URLofAnchorRule4,CheckDataURI,ForeignhyperlinksRule1,FaviconD,Foreignhyperlinks,Numberofwebpages,ForeignhyperlinksRule4,Nohyperlinkfeature,Copyrightfeatures,LinksMetaScriptRule1,IFrameRedFrameBorder,IFrameExternalSRC,NumberRedirect
2,1,0,2,0,0,0,0,0,0,1,0,1,5479,2,0,5,113,1,0,0,1,0,0,1,0,12,0,0,0,10,76,13,0,0,1,1,0,0,1,1,0,0,0,12,0,0,0,1,6,4,0,0,1,7,1,0,0,11,9.272727272727273,56,1,14.97932459389462,49,4.857142857142857,4,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1,0,1,0.0,0,0.6666666666666666,1,0,1,0,0,0,2,1,0.7692307692307693,13,1,1,1,1,0,0,0
4,1,0,2,1,0,0,0,0,0,1,0,1,5479,4,2,1,78,2,2,0,0,0,0,0,0,9,0,0,0,64,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,9,0,1,7,57,0,0,0,3,0,0,1,7,10.142857142857142,52,0,17.249667254998382,0,0.0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.8333333333333334,1,0,1,0,0,0,2,1,1.0,5,1,1,1,2,0,0,0
6,1,0,2,0,0,0,0,0,0,1,0,1,365,2,0,6,85,1,0,0,1,0,1,2,0,4,0,0,1,9,43,21,2,0,1,1,0,0,1,1,1,0,0,4,0,0,0,1,9,0,0,0,1,8,1,0,1,13,5.538461538461538,12,2,2.951280937423212,119,5.563025210084033,6,15,5,2,0,0,1,0,0,0,2,0,0,0,0,0,1.0,1,1,0,0,0,0,0,1.0,0,0.6666666666666666,1,1,0,1,1,0,2,0,1.0,20,1,1,1,1,0,0,0
8,1,0,0,0,0,0,0,0,0,1,0,1,172,1,0,1,24,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,3,0,0,1,4,5.0,11,0,4.0620192023179795,45,5.666666666666668,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05882352941176471,1,1,0,0,0,0,0,0.05882352941176471,1,0.2333333333333333,1,0,0,0,0,0,2,2,0.9714285714285714,35,1,1,1,1,0,1,0
10,1,0,2,0,0,0,0,0,0,1,0,1,731,1,0,6,78,1,0,0,0,0,0,0,0,0,0,0,0,10,57,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,10,0,0,0,0,8,0,0,1,9,7.666666666666668,11,3,2.6666666666666665,95,5.294736842105263,6,16,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.0,1,0,0,1,0,0,0,2,0.0,0,0,0,1,0,0,0,0
15,1,0,2,0,0,0,0,0,0,0,0,1,90,3,0,8,255,4,0,0,4,0,2,3,0,51,0,0,1,6,105,132,5,0,1,1,0,0,1,1,1,0,0,5,0,0,0,1,6,0,0,0,1,10,3,0,1,17,14.0,48,3,12.579161105481045,1169,9.354148845166812,17,61,4,5,0,0,3,0,0,0,2,0,0,0,0,0,1.0,1,1,0,0,0,0,0,1.0,0,0.42857142857142855,1,1,0,1,1,0,2,0,1.0,10,1,1,1,1,0,0,0
17,1,0,2,0,0,0,0,0,0,0,0,1,730,3,0,6,117,1,0,0,2,0,1,2,0,5,0,0,0,17,62,27,2,0,0,1,0,0,1,1,1,0,0,5,0,0,0,1,17,0,0,0,1,8,2,0,1,14,7.357142857142858,19,0,5.677111222861034,317,6.993690851735016,8,27,1,2,0,0,2,0,1,1,2,0,0,0,2,0,1.0,1,1,0,0,0,0,0,1.0,0,0.4,1,0,0,1,1,0,2,0,1.0,8,1,1,1,1,0,0,0
22,1,0,1,1,0,0,0,0,0,1,0,1,5479,5,2,1,59,0,0,0,0,0,0,0,0,10,0,0,1,26,21,0,0,0,1,1,0,1,0,0,0,0,0,0,0,10,0,1,7,19,0,0,0,3,0,0,1,7,7.428571428571429,20,1,6.521549834579044,172,8.63953488372093,3,10,1,0,0,0,0,0,0,0,2,0,0,0,0,0,1.0,1,1,0,0,0,0,0,1.0,1,0.2307692307692308,1,0,1,1,1,0,2,1,1.0,12,1,1,1,1,0,1,0
23,1,0,2,0,0,0,0,0,0,0,0,1,750,1,0,7,105,2,0,0,1,0,0,0,0,5,0,0,0,22,72,0,2,0,1,1,0,0,1,1,1,0,0,5,0,0,0,1,22,0,0,0,0,9,0,0,1,10,9.5,22,2,6.726812023536855,452,7.769911504424777,9,32,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0.045454545454545456,0,0,0,0,1,0,1,0.045454545454545456,0,0.6216216216216216,1,0,1,0,0,0,1,1,0.3,90,0,1,1,1,0,0,0
25,1,0,0,0,0,0,1,0,0,1,0,1,764,1,0,2,31,1,1,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,15,0,0,0,0,4,0,0,1,5,5.2,15,0,5.1536394906900505,91,7.0,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0.0,0,0.0,0,0,0,-2,0,0,0,2,0.0,0,0,0,1,0,0,0,0
